id,median,Obs_sos,window_length,predictions
1,90.0,82,12,"[10, 95, 110, 45, 10, 10, 45, 90, 10, 90, 10, 10, 90, 95, 105, 10, 90, 90, 105, 90, 110, 145, 10, 105, 145, 10, 10, 90, 10, 10, 95, 90, 95, 10, 90, 10, 90, 10, 90, 95, 100, 105, 105, 110, 110, 90, 10, 100, 45, 145]"
2,105.0,119,17,"[100, 105, 105, 105, 140, 105, 100, 100, 105, 105, 10, 100, 100, 105, 50, 10, 100, 105, 100, 100, 105, 105, 15, 105, 105, 105, 10, 105, 105, 10, 105, 105, 105, 105, 105, 105, 105, 100, 100, 105, 100, 100, 100, 105, 45, 100, 105, 105, 50, 140]"
3,30.0,17,10,"[45, 30, 10, 30, 10, 10, 30, 30, 10, 110, 10, 30, 30, 110, 105, 10, 55, 55, 30, 25, 110, 105, 10, 30, 90, 100, 10, 50, 10, 10, 50, 110, 10, 10, 30, 110, 110, 10, 25, 10, 100, 55, 50, 145, 85, 55, 10, 90, 30, 10]"
4,90.0,91,13,"[10, 95, 110, 45, 10, 10, 45, 90, 10, 90, 10, 10, 90, 95, 105, 10, 90, 90, 105, 90, 110, 145, 10, 105, 145, 10, 10, 90, 10, 10, 95, 90, 95, 10, 90, 10, 90, 10, 90, 95, 100, 105, 105, 110, 110, 90, 10, 100, 45, 145]"
5,31.0,31,10,"[45, 30, 10, 30, 10, 10, 30, 30, 10, 110, 10, 30, 30, 110, 105, 10, 55, 55, 30, 25, 110, 105, 10, 30, 90, 100, 10, 50, 10, 10, 50, 110, 10, 10, 30, 110, 110, 10, 25, 10, 100, 55, 50, 145, 85, 55, 10, 90, 30, 10]"
6,65.0,76,12,"[10, 90, 10, 45, 10, 10, 10, 105, 10, 105, 10, 10, 105, 90, 105, 10, 45, 85, 45, 105, 95, 90, 10, 90, 90, 10, 10, 105, 10, 10, 105, 85, 90, 10, 10, 10, 105, 10, 45, 105, 105, 45, 105, 110, 90, 105, 10, 95, 45, 145]"
7,55.0,47,11,"[55, 55, 135, 145, 55, 10, 55, 55, 145, 135, 145, 55, 55, 135, 145, 10, 35, 35, 55, 35, 35, 35, 10, 55, 145, 55, 10, 55, 10, 10, 135, 135, 135, 10, 135, 145, 135, 55, 35, 10, 145, 35, 55, 145, 145, 35, 10, 135, 55, 135]"
8,90.0,85,13,"[10, 95, 110, 45, 10, 10, 45, 90, 10, 90, 10, 10, 90, 95, 105, 10, 90, 90, 105, 90, 110, 145, 10, 105, 145, 10, 10, 90, 10, 10, 95, 90, 95, 10, 90, 10, 90, 10, 90, 95, 100, 105, 105, 110, 110, 90, 10, 100, 45, 145]"
9,55.0,47,11,"[55, 55, 135, 145, 55, 10, 55, 55, 145, 135, 145, 55, 55, 135, 145, 10, 35, 35, 55, 35, 35, 35, 10, 55, 145, 55, 10, 55, 10, 10, 135, 135, 135, 10, 135, 145, 135, 55, 35, 10, 145, 35, 55, 145, 145, 35, 10, 135, 55, 135]"
10,30.0,34,11,"[10, 105, 10, 45, 10, 10, 10, 45, 10, 110, 10, 10, 45, 45, 110, 10, 30, 30, 45, 30, 110, 10, 10, 45, 90, 10, 10, 45, 10, 10, 110, 110, 110, 10, 10, 10, 110, 10, 30, 110, 95, 30, 45, 90, 90, 30, 10, 10, 45, 10]"
11,30.0,39,11,"[10, 105, 10, 45, 10, 10, 10, 45, 10, 110, 10, 10, 45, 45, 110, 10, 30, 30, 45, 30, 110, 10, 10, 45, 90, 10, 10, 45, 10, 10, 110, 110, 110, 10, 10, 10, 110, 10, 30, 110, 95, 30, 45, 90, 90, 30, 10, 10, 45, 10]"
12,105.0,122,17,"[105, 105, 105, 105, 140, 105, 105, 100, 10, 105, 10, 100, 100, 105, 45, 10, 100, 105, 100, 100, 105, 105, 10, 105, 105, 140, 10, 105, 105, 10, 45, 105, 105, 45, 105, 105, 105, 100, 100, 105, 100, 100, 100, 105, 105, 100, 10, 105, 45, 140]"
13,65.0,72,12,"[10, 90, 10, 45, 10, 10, 10, 105, 10, 105, 10, 10, 105, 90, 105, 10, 45, 85, 45, 105, 95, 90, 10, 90, 90, 10, 10, 105, 10, 10, 105, 85, 90, 10, 10, 10, 105, 10, 45, 105, 105, 45, 105, 110, 90, 105, 10, 95, 45, 145]"
14,92.5,92,14,"[105, 105, 105, 105, 0, 45, 105, 105, 0, 40, 0, 40, 105, 45, 95, 0, 105, 105, 90, 105, 105, 105, 0, 40, 110, 40, 20, 105, 0, 20, 95, 40, 45, 45, 110, 110, 40, 0, 105, 45, 140, 95, 90, 110, 105, 105, 0, 105, 45, 50]"
15,89.0,92,14,"[105, 105, 105, 105, 0, 45, 105, 105, 0, 40, 0, 40, 105, 45, 95, 0, 105, 105, 90, 105, 105, 105, 0, 40, 110, 40, 20, 105, 0, 20, 95, 40, 45, 45, 110, 110, 40, 0, 105, 45, 140, 95, 90, 110, 105, 105, 0, 105, 45, 50]"
16,100.0,87,16,"[100, 105, 105, 105, 0, 105, 40, 0, 0, 100, 100, 100, 100, 45, 100, 105, 100, 100, 40, 100, 100, 100, 0, 100, 140, 40, 10, 100, 0, 100, 100, 100, 100, 105, 105, 105, 100, 40, 15, 105, 100, 15, 100, 105, 45, 100, 0, 105, 45, 140]"
17,55,42,11,"[55, 55, 135, 145, 55, 10, 55, 55, 145, 135, 145, 55, 55, 135, 145, 10, 35, 35, 55, 35, 35, 35, 10, 55, 145, 55, 10, 55, 10, 10, 135, 135, 135, 10, 135, 145, 135, 55, 35, 10, 145, 35, 55, 145, 145, 35, 10, 135, 55, 135]"
18,30,30,10,"[45, 30, 10, 30, 10, 10, 30, 30, 10, 110, 10, 30, 30, 110, 105, 10, 55, 55, 30, 25, 110, 105, 10, 30, 90, 100, 10, 50, 10, 10, 50, 110, 10, 10, 30, 110, 110, 10, 25, 10, 100, 55, 50, 145, 85, 55, 10, 90, 30, 10]"
19,105,108,15,"[45, 105, 110, 45, 0, 110, 105, 105, 0, 105, 0, 105, 105, 110, 50, 0, 105, 105, 45, 105, 105, 110, 0, 105, 45, 140, 20, 105, 0, 20, 110, 105, 105, 105, 45, 45, 105, 0, 105, 140, 140, 100, 105, 105, 105, 105, 0, 140, 45, 145]"
20,90,83,13,"[10, 95, 110, 45, 10, 10, 45, 90, 10, 90, 10, 10, 90, 95, 105, 10, 90, 90, 105, 90, 110, 145, 10, 105, 145, 10, 10, 90, 10, 10, 95, 90, 95, 10, 90, 10, 90, 10, 90, 95, 100, 105, 105, 110, 110, 90, 10, 100, 45, 145]"
21,65,57,12,"[10, 90, 10, 45, 10, 10, 10, 105, 10, 105, 10, 10, 105, 90, 105, 10, 45, 85, 45, 105, 95, 90, 10, 90, 90, 10, 10, 105, 10, 10, 105, 85, 90, 10, 10, 10, 105, 10, 45, 105, 105, 45, 105, 110, 90, 105, 10, 95, 45, 145]"
22,105,98,15,"[45, 105, 110, 45, 0, 110, 105, 105, 0, 105, 0, 105, 105, 110, 50, 0, 105, 105, 45, 105, 105, 110, 0, 105, 45, 140, 20, 105, 0, 20, 110, 105, 105, 105, 45, 45, 105, 0, 105, 140, 140, 100, 105, 105, 105, 105, 0, 140, 45, 145]"
23,65,55,12,"[10, 90, 10, 45, 10, 10, 10, 105, 10, 105, 10, 10, 105, 90, 105, 10, 45, 85, 45, 105, 95, 90, 10, 90, 90, 10, 10, 105, 10, 10, 105, 85, 90, 10, 10, 10, 105, 10, 45, 105, 105, 45, 105, 110, 90, 105, 10, 95, 45, 145]"
24,65,56,12,"[10, 90, 10, 45, 10, 10, 10, 105, 10, 105, 10, 10, 105, 90, 105, 10, 45, 85, 45, 105, 95, 90, 10, 90, 90, 10, 10, 105, 10, 10, 105, 85, 90, 10, 10, 10, 105, 10, 45, 105, 105, 45, 105, 110, 90, 105, 10, 95, 45, 145]"
25,65,62,12,"[10, 90, 10, 45, 10, 10, 10, 105, 10, 105, 10, 10, 105, 90, 105, 10, 45, 85, 45, 105, 95, 90, 10, 90, 90, 10, 10, 105, 10, 10, 105, 85, 90, 10, 10, 10, 105, 10, 45, 105, 105, 45, 105, 110, 90, 105, 10, 95, 45, 145]"
